label,subject,body
ham,周会时间调整,本周产品周会调整到周三下午三点 请大家提前准备进度汇报
ham,项目需求确认,附件中的需求文档已更新 请今天下班前反馈修改意见
ham,报销材料补交,你上月差旅报销缺少酒店发票 请补齐后提交财务
ham,培训通知,明天上午十点在三号会议室进行网络安全培训 请准时参加
ham,客户拜访安排,下周一我们去上海拜访华东客户 请确认行程和酒店预订
ham,代码评审提醒,今天下午四点开始接口改造评审 请相关同事提前看代码
ham,人事面试安排,候选人李晨的二面安排在周五上午十一点 请预留时间
ham,合同修订意见,法务已经返回合同修订建议 请根据批注更新版本
ham,服务器维护通知,今晚十点到十一点进行数据库维护 期间系统会短暂不可用
ham,年会节目收集,行政正在统计年会节目报名 有意向请周四前回复
ham,课程作业提醒,本周机器学习作业截止到周日晚 请按要求提交实验报告
ham,家庭聚餐,周六晚上来家里吃饭 我已经订好了蛋糕 记得带相机
ham,物流签收提醒,你的办公显示器已经送到前台 请有空去签收
ham,会议纪要,昨天的复盘会议纪要已经整理好 重点问题和责任人见正文
ham,采购申请,设计组需要新增两台显示器 采购申请单已附上 请审批
ham,值班安排,五一期间客服值班表已经更新 请确认自己的班次
ham,实习生入职,新来的实习生下周报到 请准备门禁和电脑账号
ham,预算讨论,明天上午讨论第二季度预算 请带上各团队费用预估
ham,读书会通知,本月读书会主题是高效沟通 欢迎大家报名分享
ham,合作方案,客户希望下周看到初版合作方案 请市场和产品一起补充
ham,生日祝福,祝你生日快乐 晚上大家一起去吃火锅
ham,宿舍检查,本周宿舍安全检查改到周四晚八点 请大家提前整理
ham,论坛报名成功,你报名的开发者论坛已经通过审核 主办方会在现场签到
ham,发票抬头确认,供应商已开票 请核对公司名称和税号是否正确
ham,数据备份完成,昨晚的数据备份已经完成 备份日志没有发现异常
ham,登录验证码,你的企业网盘登录验证码为483921 五分钟内有效 如非本人请忽略
ham,线上会议链接,下午客户演示改为线上进行 会议链接已经更新在日程里
ham,退款进度,你上周申请的差旅退款已经提交 财务预计三天内打款到工资卡
ham,订阅确认,你已成功订阅技术月报 后续每月第一周发送最新内容
ham,促销方案评审,电商团队促销方案今晚评审 重点确认预算和投放渠道
ham,试用反馈收集,新版耳机试用反馈请在周五前提交 表格链接已放到群公告
ham,海外客户沟通,明天下午和新加坡客户开会 请准备英文介绍材料
ham,推广活动复盘,上周商城促销活动的复盘报告已经更新 请查看数据看板
ham,外汇付款确认,供应商美元付款已完成 财务回单已上传到共享目录
ham,押金退回通知,会议室门禁卡押金已经原路退回 请注意查收
ham,直播培训安排,电商直播技巧培训改到周二晚上 八点准时开始
ham,福利统计,行政收集节日福利邮寄地址 请今天补充收件信息
ham,设计素材领取,发布会海报源文件已上传 大家可在共享盘领取使用
ham,会员功能评审,产品组今天讨论会员续费功能的交互方案 请准时参加
ham,海外采购清单,海外代购渠道已暂停 请采购改用合规供应商并更新清单
ham,安全验证通知,你正在登录公司VPN 本次验证码为627415 如非本人请忽略
ham,密码重置确认,系统已收到你的密码重置申请 如非本人操作请联系管理员
ham,支付审批验证码,财务付款审批验证码为158204 请在企业系统内完成确认
ham,二次验证提醒,为保护账号安全 本次登录需要二次验证 请在页面输入动态码
ham,系统登录告警,你刚刚从北京设备登录协作平台 如非本人请立即修改密码并联系管理员
spam,限时领取红包,点击链接立即领取188元新人红包 仅限今天 过期不补
spam,恭喜中奖通知,你已被抽中品牌手机大奖 回复姓名电话即可安排发货
spam,低息贷款审批,无抵押秒到账 最高可贷二十万 现在申请今日放款
spam,高薪兼职招聘,在家刷单日结三百到八百 加客服立刻安排任务
spam,发票代开服务,增值税专票普通票都可办理 税点低 出票快 需要请联系
spam,账号异常提醒,你的邮箱存在异常登录 请立即点击安全链接验证身份
spam,投资理财内幕,内部消息带你布局牛股 本周收益翻倍 名额有限速抢
spam,秒杀优惠专场,全场一折起 最后两小时 点击商城链接立即抢购
spam,税务退税通知,系统检测到你有一笔退税未领取 请登录页面填写银行卡
spam,积分兑换礼品,您的积分即将清零 现在访问活动中心免费兑换好礼
spam,免费课程领取,回复1领取价值1999元的电商实战课程 错过不再开放
